t_stamp,Tapp_plus2,Tapp,Tapp_prev1,PCI_3,PCI_4,PCI_5,HOD_2,HOD_3,HOD_4,COD_2,COD_3,COD_4,SGR610,BFR_1,BFR_2,CKR610,HL_1,HL_2,HL_3,BTemp_2,BTemp_3,HODm3,PCIm3,BMoist_1,BMoist_2,Time_Since_Tap_Open
2016-11-05 22:01:00,1448.024561,1462.2,1462.633735,0.45,2.81,2.48,-61.46,46.93,-15.34,-61.46,46.93,-15.34,59329.7,9337.4,-846.7,79814.6,932.7,5292.48,-2803.29,1.67,0.38,1770.194178,39.14550152,-0.93,-4.53,76
2016-11-06 00:52:00,1454.255319,1442,1449.087719,0.07,1.68,0.08,-186.8,-215.32,408.91,-186.8,-215.32,408.91,58877.2,-2367.2,-6735.4,79979.5,2231.59,1593.32,-2069.4,11.51,36.34,1703.486099,39.25957012,-1.05,-0.5,72
2016-11-06 04:00:00,1451.6,1461.2,1455.07234,0.37,0.88,1.52,149.4,-229.08,-302.95,149.4,-229.08,-302.95,58388.3,1403.1,-2983.5,80013.5,185.02,-927.92,1808.83,1.01,0.8,1810.510454,40.67945115,0.54,-0.16,80
2016-11-06 06:35:00,1458.92987,1448.8,1453.6,-0.19,0.33,-0.11,-863.46,-1030.15,-821.68,-863.46,-1030.15,-821.68,57928.8,-2140.7,322.1,79959.9,11618.09,12041.36,10757.56,-0.43,0.27,1413.549293,40.89668395,-0.09,-0.07,70
2016-11-06 09:09:00,1461.527273,1461.8,1456.735065,1,0.84,0.58,113.25,-794.15,-770.81,113.25,-794.15,-770.81,57624.4,77.3,-4324.3,79967.7,-4190.45,-3866.56,337.12,0.44,-0.13,1097.544841,40.85692512,-0.38,-0.16,69
2016-11-06 12:05:00,1500.871074,1461.4,1461.536364,-1.92,-1.93,-2.48,121.6,-15.31,-20.74,121.6,-15.31,-20.74,57277.4,-3863.5,-6569.3,79968.4,-3138.23,1324.26,1429.25,1.25,0.5,526.8504471,41.51623184,-0.22,-0.77,65
2016-11-06 14:06:00,1478.669182,1501.2,1481.464463,-1.46,-1.98,-2.08,-123.15,-11.48,-20.84,-123.15,-11.48,-20.84,56776.2,579.6,-545.4,80000.8,-16225.45,-7648.69,-9496.06,-1.68,-0.12,404.124922,41.00950977,-0.23,-0.66,70
2016-11-06 15:53:00,1488.292453,1477.5,1490.78972,0.62,-0.02,-1.08,-4.23,-12.9,-137,-4.23,-12.9,-137,56358.1,6568.8,11378.1,79966.8,7635.6,17961.89,1293.15,-0.14,-1.49,403.5813511,39.59662257,-0.24,-0.31,53
2016-11-06 18:32:00,1451.167876,1491.8,1486.403774,0.07,1.92,0.49,35.6,31.51,27.54,35.6,31.51,27.54,56925.7,1750.4,8626.4,80007.3,1533.12,7548.7,-3924.24,-0.95,-0.87,392.6009141,39.98576509,0.57,0.29,67
2016-11-06 20:13:00,1475.449741,1446.6,1473.451485,0.51,1.24,0.02,13.43,13.59,19.81,13.43,13.59,19.81,57255.3,-1210.4,565.1,80021.1,-3775.46,-2305.12,7155.48,-0.69,0.73,392.1129048,39.93192607,-0.41,-0.28,43
2016-11-06 23:26:00,1480.568345,1493,1478.57513,-2.11,-2.38,-2.33,-8.16,9.12,21.04,-8.16,9.12,21.04,57388.5,-3019.6,-3667.1,79741.3,12278.25,6697.11,6896.51,0.51,0.96,400.059041,39.98692107,-0.38,-0.2,81
2016-11-07 01:45:00,1513.390698,1478.6,1484.815827,-1.15,-2.36,-2.51,9.24,9.2,9.06,9.24,9.2,9.06,57379.3,432.7,-2191.4,79681.3,3523.25,-461.82,3886.77,-34.59,-36,399.8582157,38.51010155,0.78,1.33,90
2016-11-07 03:54:00,1496.32,1516,1498.604651,-1.19,-1.2,-1.04,35.61,40.25,44.84,35.61,40.25,44.84,57359.7,470.6,-1392,79679.2,-1616.39,3085.85,1754.03,0.06,-35.46,409.6292068,37.71665579,0.76,-0.1,89
2016-11-07 06:24:00,1503.142857,1491.4,1501.24,-0.38,-0.04,-0.39,63.4,59.01,24.96,63.4,59.01,24.96,57226.5,-323.7,828.1,79666,-1721.79,9473,-3859.53,-1.03,0.08,420.1108711,36.90105231,0.01,-0.01,89
2016-11-07 08:44:00,1505.607042,1505.1,1499.228571,0.24,0.15,-0.03,476.26,476.87,458.93,476.26,476.87,458.93,57067.8,1855.2,1817.5,79668.4,-10301.9,14655.2,23686.97,-0.51,-0.76,439.7238323,36.65647013,0.01,0.03,79
2016-11-07 11:06:00,1498.388742,1505.7,1505.446479,-0.05,0.07,0.24,-57.51,161,337.43,-57.51,161,337.43,56857.2,11983.4,5856,79644.3,2958.43,-7996.85,-28157.45,-1.04,0.1,739.1064864,36.83042593,-0.02,-0.01,76
2016-11-07 13:37:00,1474.84375,1496.5,1500.155629,0.94,12.43,1.54,-236.61,-280.98,12.05,-236.61,-280.98,12.05,56900.7,-439.2,-2169.8,79693.8,6603.32,4096.91,-9882.72,-1.02,-0.92,901.0277134,34.1485711,-0.02,-0.01,62
2016-11-07 15:45:00,1478.275,1473.4,1484.228125,-0.67,-1,0.08,-334.35,-350.36,-413.42,-334.35,-350.36,-413.42,57030.6,-3987.6,-4171.3,79761.7,1723.66,-6409.7,-2476.05,-0.58,-0.4,776.5149678,37.99696491,0.04,0.05,60
2016-11-07 18:25:00,1452.23972,1479.9,1477.4625,0.99,1.18,1.21,271.26,265.71,256.52,271.26,265.71,256.52,57020.3,6842.9,10222.8,79538.2,5505.44,-6056.86,3967.15,3.01,0.06,408.4268354,37.6391662,-0.02,-0.01,55
2016-11-07 20:20:00,1464.653271,1451.7,1466.413043,1.29,1.71,1.43,286.57,249.28,567.25,286.57,249.28,567.25,56828.7,3914.8,3615.2,79089.6,20162.7,21254.76,26633.67,-1.36,0.71,680.3069812,38.00318062,6.24,6.21,45
2016-11-07 23:54:00,1471.107692,1474.8,1468.323364,0.05,0.24,-0.35,716.44,754.12,585.5,716.44,754.12,585.5,56601.8,4223.8,-441,78796.4,14657.76,11891.97,-6630.63,-1.56,0.01,751.3640534,38.66833536,0.88,0.62,84
2016-11-08 02:30:00,1478.326531,1470,1471.846154,0.06,0.19,-0.08,-75.46,15.99,479.22,-75.46,15.99,479.22,56466.7,-1449.3,-2511.2,78841.1,7515.69,-4783.03,-4182.23,1,0.12,1295.488364,38.44668062,0.12,-0.38,80
2016-11-08 04:57:00,1480.883544,1480.2,1476.036735,0.76,0.45,1.06,145.13,19.73,-86.8,145.13,19.73,-86.8,56321.4,7212.7,6714.4,78886.5,-436.55,10571.84,3159.8,0.18,-0.04,1493.940027,38.63348958,0.8,0.13,77
2016-11-08 07:35:00,1471.736364,1481.1,1480.758228,0.27,-0.37,0.37,-264.78,89.48,-33.5,-264.78,89.48,-33.5,56061.4,-718.6,-2202.1,78813.6,-3724.01,-16171.46,-16035.99,0.96,-0.12,1438.857067,38.59676655,0.19,0.07,80
2016-11-08 09:47:00,1468.534266,1470.8,1475.481818,0.32,0.03,-0.46,59.05,-103.78,-175.63,59.05,-103.78,-175.63,55903.2,187.9,11974.8,78724.1,10749.07,27298.39,20188.25,0.19,0.85,1416.210298,38.62859195,-0.05,-0.25,67
2016-11-08 12:10:00,1482.53038,1468.1,1469.232867,0.77,1.64,0.21,190.82,146.96,84.02,190.82,146.96,84.02,55739.3,5879.8,6356.2,78630.2,10629.61,-6022.07,4177.96,0.78,-0.07,1400.976785,38.54152405,-0.7,-0.61,75
